timestamp,open,high,low,close,volume
1609459200000,29000.50,29500.00,28900.00,29300.00,150.5
1609462800000,29300.00,29800.00,29100.00,29600.00,175.3
1609466400000,29600.00,30200.00,29500.00,30000.00,200.8
1609470000000,30000.00,30500.00,29800.00,30100.00,180.2
1609473600000,30100.00,30800.00,30000.00,30600.00,195.7
1609477200000,30600.00,31200.00,30400.00,31000.00,220.5
1609480800000,31000.00,31500.00,30800.00,31200.00,210.3
1609484400000,31200.00,31800.00,31000.00,31600.00,235.8
1609488000000,31600.00,32000.00,31400.00,31800.00,245.2
1609491600000,31800.00,32200.00,31600.00,32000.00,260.5
